creation_date,barcode,material,material_description,brand,material_group,prodhier,MTART,material_category,size,supplier,date_received,cost,srp,gp
5/19/2020,8.851E+12,TMHD4978,NOUGAT 4PC SET QUEEN,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,686.25,248,-1.767137097
5/19/2020,8.851E+12,TMHD4979,(FPO) NOUGAT FITTED SHEETS 54X78,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,348.75,869,0.59867664
5/19/2020,8.851E+12,TMHD4980,NOUGAT FITTED SHEETS 60X78,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,363.75,102,-2.566176471
5/19/2020,8.851E+12,TMHD4981,(FPO) NOUGAT FITTED SHEETS 78X80,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,416.25,208,-1.001201923
5/19/2020,8.851E+12,TMHD4982,NOUGAT FLAT SHEET 81X101,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,356.25,128,-1.783203125
5/19/2020,8.851E+12,TMHD4983,(FPO) NOUGAT FLAT SHEET 90X10,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,378.75,189,-1.003968254
5/19/2020,8.851E+12,TMHD4984,NOUGAT PILLOWCASE 20X30,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,165,47,-2.510638298
5/19/2020,8.851E+12,TMHD4985,(DNU) NPN CLRNT 811-0018 WHT KX 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,600,706,0.150141643
5/19/2020,8.851E+12,TMHD4986,(DNU) NPN CLRNT 811-0422 MGNTA V 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,980,1155,0.151515152
5/19/2020,8.851E+12,TMHD4987,(DNU) NPN CLRNT 811-0715 HS RED ER 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,2700,3178,0.150409062
5/19/2020,8.851E+12,TMHD4988,(DNU) NPN CLRNT 811-0746 RED HT 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,2000,2355,0.1507431
5/19/2020,8.851E+12,TMHD4989,(DNU) NPN CLRNT 811-0836 ORG RED R 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1100,1295,0.150579151
5/19/2020,8.851E+12,TMHD4990,(DNU) NPN CLRNT 811-1046 RED OX F 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,580,685,0.153284672
5/19/2020,8.851E+12,TMHD4991,(DNU) NPN CLRNT 811-2040 MED YLW T 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1100,1295,0.150579151
5/19/2020,8.851E+12,TMHD4992,(DNU) NPN CLRNT 811-5511 PHTHALO GRN 1L,Generic Paints,Paints,Enamel,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,560,659,0.150227618
5/19/2020,8.851E+12,TMHD4993,NPN DUO CLSC MATT BASE ACCENT 15L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,2106,2478,0.150121065
5/19/2020,8.851E+12,TMHD4994,NPN DUO CLSC MATT BASE DEEP 15L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,2030,2532,0.198262243
5/19/2020,8.851E+12,TMHD4995,NPN DUO CLSC MATT BASE PASTEL 15L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,2289,2693,0.150018567
5/19/2020,8.851E+12,TMHD4996,NPN DUO CLSC SG BASE PASTEL 15L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,2641,2959,0.107468739
5/19/2020,8.851E+12,TMHD4997,(FPO) NPN DUO CLSC SG BASE TINT 1L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,192,239,0.19665272
5/19/2020,8.851E+12,TMHD4998,NPN ELASTEX DEEP BASE 5L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,799.22,898,0.11
5/19/2020,8.851E+12,TMHD4999,NPN ELASTEX TINT BASE 5L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,780,918,0.150326797
5/19/2020,8.851E+12,TMHD5000,NPN ELASTEX WHITE 15L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,2537,2843,0.107632782
5/19/2020,8.851E+12,TMHD5001,NPN ELASTEX WHITE 5L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,838.69,998,0.159629259
5/19/2020,8.851E+12,TMHD5002,NPN FLEX ELASTO MEMB 145 WHT 20L,Generic Paints,Paints,Mixed Paints,HAWA,Outright,,"8NPP (NIPPON PAINTS PHILS, INC.)",5/30/2020,4281,5137,0.166634222
